[Mar 23 12:10:36:1648037436.486467:1:info] Quick Scan Complete. Scanned in less than 1 second.
[Mar 23 12:10:36:1648037436.485120:2:info] Wordfence used 4 MB of memory for scan. Server peak memory usage was: 8 MB
[Mar 23 12:10:36:1648037436.483367:1:info] -------------------
[Mar 23 12:10:36:1648037436.352966:1:info] Initiating quick scan
[Mar 22 12:08:21:1647950901.226504:1:info] Quick Scan Complete. Scanned in less than 1 second.
[Mar 22 12:08:21:1647950901.224631:2:info] Wordfence used 0 B of memory for scan. Server peak memory usage was: 2 MB
[Mar 22 12:08:21:1647950901.220458:1:info] -------------------
[Mar 22 12:08:21:1647950901.083841:1:info] Initiating quick scan
[Mar 21 13:54:48:1647870888.676007:1:info] Scan Complete. Scanned 138440 files, 39 plugins, 7 themes, 176 posts, 51 comments and 95914 URLs in 1 hour 43 minutes 43 seconds.
[Mar 21 13:54:48:1647870888.674881:2:info] Wordfence used 59.18 MB of memory for scan. Server peak memory usage was: 99.18 MB
[Mar 21 13:54:48:1647870888.672557:1:info] -------------------
[Mar 21 13:54:48:1647870888.637133:2:info] Done examining URLs
[Mar 21 13:54:48:1647870888.634929:2:info] Examining URLs found in the options we scanned for dangerous websites
[Mar 21 13:54:39:1647870879.763350:2:info] Starting password strength check on 13 users.
[Mar 21 13:54:39:1647870879.730264:2:info] Done host key check.
[Mar 21 13:54:39:1647870879.058216:2:info] Checking 4 host keys against Wordfence scanning servers.
[Mar 21 13:54:38:1647870878.942092:2:info] Done examining URLs
[Mar 21 13:54:38:1647870878.940479:2:info] Done host key check.
[Mar 21 13:54:38:1647870878.282376:2:info] Checking 297 host keys against Wordfence scanning servers.
[Mar 21 13:54:38:1647870878.279457:2:info] Examining URLs found in posts we scanned for dangerous websites
[Mar 21 13:54:37:1647870877.747332:2:info] Adding issue: File appears to be malicious or unsafe: wp-content/plugins/restartmembership/views.txt
[Mar 21 13:54:37:1647870877.742376:2:info] Adding issue: File appears to be malicious or unsafe: wp-content/plugins/restartmembership/page4/files/Add-Boot.txt
[Mar 21 13:54:37:1647870877.736881:2:info] Adding issue: File appears to be malicious or unsafe: wp-content/languages/plugins/trackingmyshipment/required/re/redelivery/index3.php
[Mar 21 13:54:37:1647870877.730392:2:info] Adding issue: File appears to be malicious or unsafe: wp-content/languages/plugins/trackingmyshipment/required/re/redelivery/indexre.php
[Mar 21 13:54:37:1647870877.728191:2:info] Done file contents scan
[Mar 21 13:54:37:1647870877.051991:2:info] Done host key check.
[Mar 21 13:54:36:1647870876.207145:2:info] Checking 10028 host keys against Wordfence scanning servers.
[Mar 21 13:54:36:1647870876.094160:2:info] Asking Wordfence to check URLs against malware list.
[Mar 21 13:54:36:1647870876.092381:2:info] Scanned contents of 118837 additional files at 23.38 per second
[Mar 21 13:54:35:1647870875.121428:2:info] Scanned contents of 118806 additional files at 23.38 per second
[Mar 21 13:54:34:1647870874.074931:2:info] Scanned contents of 118771 additional files at 23.38 per second
[Mar 21 13:54:30:1647870870.736488:2:info] Scanned contents of 118763 additional files at 23.39 per second
[Mar 21 13:54:29:1647870869.678606:2:info] Scanned contents of 118736 additional files at 23.39 per second
[Mar 21 13:54:28:1647870868.646853:2:info] Scanned contents of 118710 additional files at 23.39 per second
[Mar 21 13:54:27:1647870867.644590:2:info] Scanned contents of 118678 additional files at 23.39 per second
[Mar 21 13:54:26:1647870866.639016:2:info] Scanned contents of 118652 additional files at 23.39 per second
[Mar 21 13:54:25:1647870865.636278:2:info] Scanned contents of 118614 additional files at 23.39 per second
[Mar 21 13:54:23:1647870863.807007:2:info] Scanned contents of 118595 additional files at 23.39 per second
[Mar 21 13:54:21:1647870861.811455:2:info] Scanned contents of 118583 additional files at 23.40 per second
[Mar 21 13:54:20:1647870860.801576:2:info] Scanned contents of 118550 additional files at 23.40 per second
